Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
A. S. Rao Nagar,17.4799497,78.5568336,The Coffee Cup,17.48318024,78.55210436,Café
A. S. Rao Nagar,17.4799497,78.5568336,Cafe Coffee Day,17.48126241,78.55507673,Café
A. S. Rao Nagar,17.4799497,78.5568336,Fifth Avenue Bakers,17.48767335,78.54279288,Bakery
A. S. Rao Nagar,17.4799497,78.5568336,Domino's Pizza,17.47503488,78.55314102,Pizza Place
A. S. Rao Nagar,17.4799497,78.5568336,Woodland Restaurant,17.47664592,78.566404,Snack Place
A. S. Rao Nagar,17.4799497,78.5568336,Parivaar Restaurant,17.4768498,78.56352476,Indian Restaurant
A. S. Rao Nagar,17.4799497,78.5568336,KFC,17.47504008,78.55313732,Fast Food Restaurant
A. S. Rao Nagar,17.4799497,78.5568336,Mama Mia Italia,17.48739486,78.54007835,Pizza Place
A. S. Rao Nagar,17.4799497,78.5568336,McDonald's,17.4769612,78.56475391,Fast Food Restaurant
A. S. Rao Nagar,17.4799497,78.5568336,Swagath Grand,17.48202237,78.55326144,Indian Restaurant
A. S. Rao Nagar,17.4799497,78.5568336,Radhika Movieplex & Mall,17.4768715,78.56309357,Shopping Mall
A. S. Rao Nagar,17.4799497,78.5568336,Sai Ratna Hotel,17.47378713,78.57083993,Breakfast Spot
A. S. Rao Nagar,17.4799497,78.5568336,Royal Bawarchi,17.4651748,78.56170726,Café
A. S. Rao Nagar,17.4799497,78.5568336,Hang Out,17.49041673,78.54310113,Falafel Restaurant
A. S. Rao Nagar,17.4799497,78.5568336,dawat,17.483355,78.53957916,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,Chicha's,17.40325496,78.46015158,Hyderabadi Restaurant
A.C. Guards,17.4028042,78.4594873,Cafe Niloufer & Bakers,17.39971498,78.46288085,Café
A.C. Guards,17.4028042,78.4594873,Taiba Bakers & Confectioners,17.40252967,78.45682279,Bakery
A.C. Guards,17.4028042,78.4594873,Nizam club,17.40322092,78.4687291,Lounge
A.C. Guards,17.4028042,78.4594873,DineHill,17.40525586,78.4516736,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,Jewel Of Nizam,17.4038693,78.46119359,Middle Eastern Restaurant
A.C. Guards,17.4028042,78.4594873,Spice 6,17.40900704,78.45055865,Bistro
A.C. Guards,17.4028042,78.4594873,Rayalaseema Ruchulu,17.40308378,78.46301187,South Indian Restaurant
A.C. Guards,17.4028042,78.4594873,Subhan Bakery,17.39241151,78.46471161,Bakery
A.C. Guards,17.4028042,78.4594873,IMAX Screen,17.41304126,78.46561793,Multiplex
A.C. Guards,17.4028042,78.4594873,Paradise Food Court,17.41211297,78.46544328,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,Karachi Bakery,17.41059592,78.44981385,Bakery
A.C. Guards,17.4028042,78.4594873,Birla Science Museum,17.40385352,78.46945707,Science Museum
A.C. Guards,17.4028042,78.4594873,Sarvi,17.41269785,78.44970386,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,Baskin Robbins Red Hills,17.40160022,78.46372698,Ice Cream Shop
A.C. Guards,17.4028042,78.4594873,Barbeque Nation,17.41500639,78.449869,BBQ Joint
A.C. Guards,17.4028042,78.4594873,Fusion 9,17.41444393,78.45035686,Restaurant
A.C. Guards,17.4028042,78.4594873,Dwarka tiffins,17.40543193,78.46373026,Vegetarian / Vegan Restaurant
A.C. Guards,17.4028042,78.4594873,Bikanervala,17.41079302,78.44979338,Chaat Place
A.C. Guards,17.4028042,78.4594873,Necklace Road,17.41938355,78.46530663,Scenic Lookout
A.C. Guards,17.4028042,78.4594873,Prasad's IMAX,17.41305354,78.46557776,Multiplex
A.C. Guards,17.4028042,78.4594873,Ram ki Bandi,17.39501202,78.47288285,Food Truck
A.C. Guards,17.4028042,78.4594873,Mercure Hyderabad KCP,17.41774414,78.45690831,Hotel
A.C. Guards,17.4028042,78.4594873,The Lounge (CCD),17.41483739,78.44804841,Café
A.C. Guards,17.4028042,78.4594873,Siraj's International Juice Center,17.39557924,78.44270097,Juice Bar
A.C. Guards,17.4028042,78.4594873,Chacha Nehru Park,17.40196924,78.44948635,Park
A.C. Guards,17.4028042,78.4594873,Hotel Taj Krishna,17.4164141,78.44988856,Hotel
A.C. Guards,17.4028042,78.4594873,Sahib Sindh Sultan,17.4148016,78.44911666,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,"555 Cafe, Masab Tank",17.40347042,78.45258575,Café
A.C. Guards,17.4028042,78.4594873,The Golkonda Hotel,17.404457,78.45395,Hotel Bar
A.C. Guards,17.4028042,78.4594873,Prasads Screen 2,17.41289659,78.46571182,Multiplex
A.C. Guards,17.4028042,78.4594873,Baskin-Robbins,17.40206508,78.45341667,Ice Cream Shop
A.C. Guards,17.4028042,78.4594873,Mings Court,17.40487191,78.47656252,Chinese Restaurant
A.C. Guards,17.4028042,78.4594873,Dunkin',17.41327758,78.45040987,Donut Shop
A.C. Guards,17.4028042,78.4594873,Shahi Dastarkhwan,17.40263998,78.46139897,Hyderabadi Restaurant
A.C. Guards,17.4028042,78.4594873,Hotel Marjaan,17.39537327,78.45511532,Café
A.C. Guards,17.4028042,78.4594873,Chambers @ Taj Krishna,17.41670363,78.45018582,Hotel
A.C. Guards,17.4028042,78.4594873,Pizza Hut,17.40806898,78.45039061,Pizza Place
A.C. Guards,17.4028042,78.4594873,Tabla - The Food Beat,17.41214833,78.44976126,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,Ravindra Bharathi,17.40310754,78.46711609,Performing Arts Venue
A.C. Guards,17.4028042,78.4594873,Paradise Restaurant,17.40360173,78.45284818,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,Crossword Book Store,17.41528123,78.44902532,Bookstore
